event_id,case_id,scenario,episode_id_gt,microflow_gt,timestamp,actor_type,actor_role,intent,action_type,capability,tool_name,object_type,handoff_from,handoff_to,status,retry_count,prev_event_id
b5198095-0427-496a-bd81-adb8e2e2725a,C000000,S3_quality_abnormality,C000000_E00,MW01,2026-01-01T08:00:00,agent,production,incidental_activity,noise,QueryNonCriticalMetric,QueryNonCriticalMetric,ProductionOrder,,,success,0,
f3b27763-b4c5-43c1-82e5-468eea12c304,C000000,S3_quality_abnormality,C000000_E00,MW01,2026-01-01T08:00:23,agent,production,understand_abnormality,trigger,ReceiveAbnormalityEvent,ReceiveAbnormalityEvent,OperationalCase,,,success,0,b5198095-0427-496a-bd81-adb8e2e2725a
3007c5d9-1732-4ecb-879b-df04ca73067e,C000000,S3_quality_abnormality,C000000_E00,MW01,2026-01-01T08:00:35,agent,production,collect_context,work,GetMachineStatus,OpsAgent.machineContext,Machine,,,success,0,f3b27763-b4c5-43c1-82e5-468eea12c304
bef7d951-0cf4-4e2c-98a6-69fa75096cfa,C000000,S3_quality_abnormality,C000000_E00,MW01,2026-01-01T08:01:12,agent,production,collect_context,work,GetCurrentProductionOrder,ERP.queryOrder,ProductionOrder,,,success,0,3007c5d9-1732-4ecb-879b-df04ca73067e
8101ad76-8116-4ce8-9ca3-bb3bc44ec893,C000000,S3_quality_abnormality,C000000_E00,MW01,2026-01-01T08:02:02,human,specialist,collect_context,work,GetRecentAlarm,SCADA.recentAlarm,Machine,,,success,0,bef7d951-0cf4-4e2c-98a6-69fa75096cfa
a853e0a6-caed-4fe6-8a82-362a86bc67c6,C000000,S3_quality_abnormality,C000000_E00,MW01,2026-01-01T08:02:26,agent,quality,incidental_activity,noise,SendStatusMessage,SendStatusMessage,ProductionOrder,,,success,0,8101ad76-8116-4ce8-9ca3-bb3bc44ec893
f11d9b34-0f02-4769-9782-463ab6057576,C000000,S3_quality_abnormality,C000000_E00,MW01,2026-01-01T08:02:35,agent,production,synthesize_context,outcome,BuildOperationalContext,BuildOperationalContext,OperationalCase,,,success,0,a853e0a6-caed-4fe6-8a82-362a86bc67c6
b2721218-5c88-45ef-b47f-d6e270660b54,C000000,S3_quality_abnormality,C000000_E01,MW02,2026-01-01T08:03:20,agent,maintenance,investigate_cause,work,GetAlarmHistory,MaintenanceAgent.alarmHistory,Machine,,,success,0,f11d9b34-0f02-4769-9782-463ab6057576
4ef1de28-de0f-486c-9052-4ed11f3f2f5d,C000000,S3_quality_abnormality,C000000_E01,MW02,2026-01-01T08:04:15,human,specialist,investigate_cause,work,GetMaintenanceHistory,MaintenanceAgent.workHistory,MaintenanceRequest,,,success,0,b2721218-5c88-45ef-b47f-d6e270660b54
48ae2e61-39c1-4cd2-8200-bf182ca9c1ef,C000000,S3_quality_abnormality,C000000_E01,MW02,2026-01-01T08:04:59,agent,production,investigate_cause,work,GetProcessParameters,Historian.processWindow,OperationalCase,,,success,0,4ef1de28-de0f-486c-9052-4ed11f3f2f5d
